"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Swift", "Markdown", "Dart", "XML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"e:\Dev\go_great\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Dev\go_great\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Dev\go_great\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Dev\go_great\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"e:\Dev\go_great\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Dev\go_great\macos\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Dev\go_great\pubspec.yaml", "YAML", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 60, 16, 120
"e:\Dev\go_great\test\sign_up_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Dev\go_great\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 10, 7, 32
"e:\Dev\go_great\web\index.html", "HTML", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 129
"e:\Dev\go_great\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\Dev\go_great\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"e:\Dev\go_great\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Dev\go_great\windows\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\Dev\go_great\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\Dev\go_great\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\Dev\go_great\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\Dev\go_great\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\Dev\go_great\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\Dev\go_great\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\Dev\go_great\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\Dev\go_great\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 540, 39, 312, 98, 50, 62, 13, 1762, 553, 8, 108, 4, 326, 463, 4338
